horizon,mse,rmse,mae,mape,mdape,smape,coverage
331 days,208507.38672840502,456.626090722382,389.5857433716545,0.15470298413813385,0.16092528600461137,0.15385274379666694,0.15
332 days,208937.2062848726,457.0964955946092,393.8695115577447,0.14999415808327232,0.15193571323882418,0.15088373270992667,0.125
333 days,250976.2052361492,500.97525411555927,427.72618872570365,0.1549251329696631,0.15776645935438768,0.1566727929285721,0.1
334 days,339779.4753652111,582.9060604979254,489.9230614998437,0.16312958823903362,0.16647781632627717,0.16633558810184462,0.05
335 days,363814.467911684,603.1703473411835,506.3160184881646,0.16405986742020548,0.16647781632627717,0.1674384386041469,0.05
355 days,325907.0883725268,570.8827273376966,470.26241602389393,0.1612894549101768,0.16092528600461137,0.16341973064713772,0.05
356 days,279422.9049516055,528.6046773833972,412.1650763206226,0.15222414051139382,0.158016477375089,0.15288028919997393,0.1
357 days,277007.53781756805,526.3150556630202,401.66011685295814,0.1438785814903834,0.15193571323882418,0.14521350046019824,0.15
358 days,351198.5721463881,592.6200909068035,458.52370602158624,0.2207515205630816,0.158016477375089,0.18698377404115957,0.15
359 days,386470.34296770784,621.6673893391127,496.47544708614623,0.24313686779966132,0.158016477375089,0.20404815175721147,0.15
360 days,380825.0135249224,617.11021181384,485.2876268806842,0.2353381985565282,0.15193571323882418,0.19746689188915661,0.25
361 days,373481.9817662999,611.1317221076811,480.193632458261,0.22524438785333806,0.14187439062237095,0.1907869782985819,0.2
362 days,395380.7142192013,628.7930615227885,501.91678701229085,0.23021701425275004,0.1447963281084121,0.19707683320045705,0.2
363 days,413353.9072735809,642.9260511704133,520.8512635164595,0.23357871871700012,0.16884617107649794,0.20134977455560382,0.2
364 days,493926.4178776983,702.7989882446461,576.2178523550217,0.23994860063085488,0.19232948470521233,0.2091798852859664,0.2
365 days,538544.5050638493,733.85591573813,604.982014240881,0.2405212580610196,0.19232948470521233,0.20981552777549056,0.2
